:	colon
=	equals	equal
+	plus
*	star
-	dash
/	slash
!	bang
,	comma
.	dot
\	back slash
;	semi colon
|	v bar
&	ampersand
<	less	less than
>	greater	greater than
%	percent
~	tilde
^	circumflex	carat
@	at
#	hashtag	pound
_	underscore
~	tilde
?	huh
